nct_id,brief_title,conditions,cancer_type_label,multi_subtype,categories_matched,hand_check_category,agree
NCT06863272,A Clinical Study of Ifinatamab Deruxtecan Based Treatment Combinations or as Monotherapy to Treat Metastatic Castrate Resistant Prostate Cancer (mCRPC) (MK-2400-01A/IDeate-Prostate02),Castration-Resistant Prostatic Cancer;Metastasis,Prostate,,prostate,,
NCT06186401,Anti-EGFRvIII synNotch Receptor Induced Anti-EphA2/IL-13Ralpha2 CAR (E-SYNC) T Cells,EGFR Gene Mutation;Glioblastoma;MGMT-Unmethylated Glioblastoma;Recurrent Glioblastoma,Brain & CNS,,brain_cns,,
NCT06452160,A Study of BGC515 Capsules in Subjects With Advanced Solid Tumors,Mesothelioma;Epithelioid Hemangioendothelioma(EHE);Solid Tumor,Multiple cancer types / basket or umbrella,basket with a named cohort,lung,,
NCT06236724,Phase II Study Assessing Efficacy and Safety of Asciminib in Patients With Newly Diagnosed Chronic Myeloid Leukemia in Chronic Phase.,Chronic Myeloid Leukemia,Leukemia,,leukemia,,
NCT06312176,A Study of Sacituzumab Tirumotecan (MK-2870) as a Single Agent and in Combination With Pembrolizumab (MK-3475) Versus Treatment of Physician's Choice in Participants With HR+/HER2- Unresectable Locally Advanced or Metastatic Breast Cancer (MK-2870-010),Breast Neoplasms,Breast,,breast,,
NCT06079346,A Study of OT-101 With mFOLFIRINOX in Patients With Advanced and Unresectable or Metastatic Pancreatic Cancer,Pancreatic Ductal Adenocarcinoma,Pancreatic,,pancreatic,,
NCT05195710,Preoperative Y-90 Radioembolization for Tumor Control and Future Liver Remnant Hypertrophy in Patients With Colorectal Liver Metastases,Metastases,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,,
NCT03909282,Surgical Excision vs Neoadjuvant Radiotherapy+Delayed Surgical Excision of Ductal Carcinoma,Ductal Breast Carcinoma in Situ,Breast,,breast,,
NCT05748197,A Study of ADCLEC.syn1 in People With Acute Myeloid Leukemia,Acute Myeloid Leukemia,Leukemia,,leukemia,,
NCT05176483,Study of Zanzalintinib in Combination With Immuno-Oncology or Other Agents in Participants With Solid Tumors,Renal Cell Carcinoma (RCC);Metastatic Castration-Resistant Prostate Cancer (mCRPC);Urothelial Carcinoma (UC);Solid Tumor;Hepatocellular Carcinoma (HCC);Non-small Cell Lung Cancer (NSCLC);Colorectal Cancer (CRC);Head and Neck Squamous Cell Carcinoma (HNSCC);Clear Cell Renal Cell Carcinoma (ccRCC);Non-Clear Cell Renal Cell Carcinoma (nccRCC);Drug-Drug Interaction (DDI),Multiple cancer types / basket or umbrella,multiple named cancers,bladder_urothelial;colorectal;head_neck;kidney;liver_biliary;lung;prostate,,
