nct_id,brief_title,conditions,n_us_sites
NCT02048332,Donor-Derived Viral Specific T-cells (VSTs),Allogeneic Stem Cell Transplant;Viral Infection;Viral Reactivation,2
NCT02193841,Simple Bone Cysts in Kids,Bone Cyst,4
NCT07478172,Effects of Whole-body Electrical Muscle Stimulation Exercise on Adults With Neuromuscular Disease,Neuromuscular Diseases (NMD);Amyotrophic Lateral Sclerosis;Myasthenia Gravis;Lambert-eaton Myasthenic Syndrome;Primary Lateral Sclerosis;Spinal Muscular Atrophy;Charcot Marie Tooth Disease (CMT);Fascioscapulohumeral Muscular Dystrophy;Inclusion Body Myositis;Mitochondrial Myopathy;Nemaline Myopathy;Centronuclear Myopathy;Postpolio Syndrome;Pompe Disease (Late-onset);Chronic Inflammatory Demyelinating Polyneuropathy;Hereditary Spastic Paraplegia;Postural Orthostatic Tachycardia Syndrome (POTS);Progressive Muscular Atrophy,1
NCT02537769,Study of the Clinical Impact of Surgical Correction of Tricuspid Insufficiency in Implantable LVAD Patients,Tricuspid Regurgitation;Heart Failure NYHA Class III;Heart Failure NYHA Class IV,1
NCT05951777,Autologous Adipose-Derived Mesenchymal Stem Cells for Chronic Traumatic Brain Injury,Traumatic Brain Injury,2
NCT07729579,An Open-Label Pharmacokinetic Study for Patients With Actinic Keratosis on the Upper Extremities or the Face,Actinic Keratosis (AK),1
NCT04013802,"TETRAVI Multivirus CTL for Treatment of EBV, CMV, Adenovirus, and BK Infections Post Allogeneic SCT.",Viral Infection,2
NCT06641089,Evaluation of Sonelokimab in Patients With Active Psoriatic Arthritis and Anti-TNFα Inadequate Response,"Arthritis, Psoriatic",36
NCT07246590,Cantharidin Application in Patients With Common Warts (Verruca Vulgaris) (COVE-2),Common Warts;Common Warts (Verruca Vulgaris);Human Papilloma Virus (HPV);Warts,5
NCT07247058,Isturisa Treatment in Mild Autonomous Cortisol Secretion( MACS),Mild Autonomous Cortisol Secretion (MACS),1
NCT07507643,A Study of Methylprednisolone in People Having Liver Surgery,Hepatectomy,3
NCT07299474,Efficacy of Lavender Aromatherapy on Anxiety and Pain Reduction During Awake Otolaryngologic Procedures,"Inferior Turbinate Hypertrophy;Chronic Rhinosinusitis (CRS);Rhinitis, Vasomotor;Thyroid Nodules;Vocal Fold Immobility",1
NCT07284420,ADAPT Forward 1 - ISA1 - a Study to Evaluate Empasiprubart IV as add-on Therapy to Efgartigimod IV in Participants With AChR-Ab Seropositive Generalized Myasthenia Gravis With a Partial Clinical Response to Efgartigimod,AChR-Ab Seropositive Generalized Myasthenia Gravis;Myasthenia Gravis;MG;gMG;Generalized Myasthenia Gravis;Generalized Myasthenia Gravis (gMG),11
NCT06669416,Taste Alterations Study,"Chemotherapy Side Effects;Taste, Altered",1
NCT01799538,Nebulized or Inhaled Albuterol for Lymphangioleiomyomatosis,Lymphangioleiomyomatosis,1
NCT02923011,Comparative Effectiveness of MRgFUS Versus CTgRFA for Osteoid Osteomas,Osteoid Osteoma,3
NCT05736419,A Study of Immune Suppression Treatment for People With Sickle Cell Disease or β-Thalassemia Who Are Going to Receive an Allogeneic Hematopoietic Cell Transplantation (HCT),"Sickle Cell Disease;Thalassemia, Beta;Thalassemia",6
NCT06456580,A Study of Telitacicept for the Treatment of Generalized Myasthenia Gravis (UPSTREAM MG),Generalized Myasthenia Gravis,26
NCT03480971,Treatment of Radiation and Cisplatin Induced Toxicities with Tempol,Mucositis;Nephrotoxicity;Ototoxicity,8
NCT06538870,Dental Implant Healing With TNF-Alpha Inhibitors,Edentulism;Dental Implants;TNF-alpha Inhibitors,1
