state_fips,pop55,n_tracts,pct_zero_trials_within_60rdmi,pct_lt20_trials_within_60rdmi,pct_lt100_trials_within_60rdmi,pct_in_zero_trial_county,pct_gt60rdmi_broad_menu,pct_gt120rdmi_broad_menu,pct_gt60rdmi_limited_menu,pct_gt60rdmi_nci,pct_gt120rdmi_nci,pct_no_road_route_broad,pct_no_road_route_nci,median_road_mi_nci,median_road_mi_broad_menu,median_road_mi_limited_menu,wmean_trials_within_60rdmi,wmean_trials_within_30rdmi,wmean_trials_within_120rdmi,wmean_trials_in_own_county,modal_nearest_nci,modal_nearest_broad,wmean_t60_cancer_type_bladder_urothelial,wmean_t60_cancer_type_brain_cns,wmean_t60_cancer_type_breast,wmean_t60_cancer_type_colorectal,wmean_t60_cancer_type_gastric_esophageal,wmean_t60_cancer_type_gynecologic,wmean_t60_cancer_type_head_neck,wmean_t60_cancer_type_kidney,wmean_t60_cancer_type_leukemia,wmean_t60_cancer_type_liver_biliary,wmean_t60_cancer_type_lung,wmean_t60_cancer_type_lymphoma,wmean_t60_cancer_type_mds_mpn,wmean_t60_cancer_type_melanoma_skin,wmean_t60_cancer_type_multi,wmean_t60_cancer_type_myeloma,wmean_t60_cancer_type_neuroendocrine_endocrine,wmean_t60_cancer_type_other_named,wmean_t60_cancer_type_other_unclassified,wmean_t60_cancer_type_pancreatic,wmean_t60_cancer_type_prostate,wmean_t60_cancer_type_sarcoma,wmean_t60_phase_1,wmean_t60_phase_1-2,wmean_t60_phase_2,wmean_t60_phase_2-3,wmean_t60_phase_3,wmean_t60_phase_4,wmean_t60_phase_NA,wmean_t60_sponsor_academic_other,wmean_t60_sponsor_industry,wmean_t60_sponsor_nih_federal
39,3684678,3168,0.0,1.0,17.4,16.7,22.8,0.5,4.7,42.6,0.5,0.0,0.0,54.0,38.0,0.0,282.0,156.0,604.0,98.0,OSU Comprehensive Cancer Center – James,"Cuyahoga, Ohio",12.0,7.0,19.0,8.0,3.0,20.0,9.0,5.0,18.0,3.0,38.0,14.0,4.0,7.0,66.0,14.0,4.0,0.0,2.0,5.0,17.0,6.0,50.0,46.0,71.0,13.0,96.0,2.0,6.0,81.0,170.0,31.0
40,1125040,1205,15.5,22.5,63.8,56.4,63.8,24.3,22.7,63.5,26.4,0.0,0.0,97.0,95.0,26.0,80.0,61.0,188.0,39.0,Stephenson Cancer Center (Oklahoma),"Oklahoma, Oklahoma",4.0,2.0,4.0,2.0,1.0,13.0,3.0,2.0,4.0,1.0,7.0,4.0,0.0,2.0,21.0,2.0,1.0,0.0,1.0,2.0,4.0,1.0,12.0,9.0,22.0,4.0,30.0,0.0,2.0,28.0,30.0,21.0
41,1316582,1001,6.3,24.1,47.1,16.1,50.5,32.2,24.5,50.9,32.2,0.0,0.0,62.0,61.0,0.0,172.0,127.0,255.0,76.0,Knight Cancer Institute (OHSU),"Washington, Oregon",4.0,2.0,15.0,7.0,4.0,12.0,5.0,2.0,11.0,2.0,24.0,11.0,1.0,3.0,41.0,6.0,2.0,1.0,0.0,5.0,12.0,2.0,25.0,24.0,46.0,10.0,66.0,0.0,1.0,50.0,103.0,19.0
42,4279573,3446,1.0,2.6,23.2,9.9,36.9,5.6,7.3,38.1,6.4,0.0,0.0,47.0,45.0,0.0,359.0,189.0,970.0,93.0,Sidney Kimmel Cancer Center (Jefferson),"Philadelphia, Pennsylvania",17.0,8.0,31.0,13.0,8.0,23.0,16.0,6.0,16.0,5.0,45.0,19.0,1.0,11.0,83.0,13.0,5.0,1.0,2.0,8.0,22.0,6.0,69.0,48.0,104.0,14.0,109.0,2.0,12.0,136.0,186.0,38.0
44,354109,250,0.0,0.0,0.0,14.7,0.0,0.0,0.0,27.9,0.0,0.0,0.0,53.0,0.0,0.0,617.0,110.0,902.0,65.0,Dana-Farber/Harvard Cancer Center,"Providence, Rhode Island",18.0,18.0,51.0,12.0,9.0,40.0,23.0,10.0,34.0,4.0,49.0,41.0,2.0,15.0,196.0,34.0,5.0,2.0,4.0,8.0,28.0,14.0,158.0,118.0,174.0,20.0,129.0,5.0,14.0,205.0,369.0,43.0
45,1656850,1323,0.6,21.4,72.0,28.8,76.0,9.2,23.4,85.3,40.8,0.0,0.0,114.0,93.0,26.0,75.0,48.0,239.0,28.0,Hollings Cancer Center (MUSC),"Mecklenburg, North Carolina",4.0,1.0,10.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,9.0,4.0,0.0,1.0,16.0,4.0,1.0,0.0,0.0,1.0,8.0,0.0,10.0,8.0,18.0,4.0,34.0,0.0,1.0,24.0,40.0,11.0
46,274034,242,24.1,68.5,68.5,55.6,68.5,49.9,68.5,100.0,98.9,0.0,0.0,242.0,119.0,108.0,45.0,34.0,72.0,27.0,Fred & Pamela Buffett Cancer Center (UNMC),"Minnehaha, South Dakota",1.0,0.0,5.0,4.0,2.0,6.0,3.0,1.0,1.0,1.0,8.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,11.0,3.0,26.0,0.0,0.0,15.0,22.0,7.0
47,2079269,1701,6.9,27.5,57.2,43.2,57.8,34.4,28.0,58.3,35.0,0.0,0.0,85.0,82.0,32.0,191.0,114.0,310.0,66.0,Vanderbilt-Ingram Cancer Center,"Davidson, Tennessee",6.0,2.0,21.0,7.0,3.0,5.0,5.0,4.0,6.0,1.0,25.0,9.0,2.0,4.0,64.0,9.0,2.0,0.0,1.0,3.0,9.0,3.0,50.0,39.0,38.0,8.0,53.0,1.0,2.0,27.0,154.0,9.0
48,7228377,6896,6.2,20.7,34.5,23.2,34.9,20.6,22.3,43.5,22.8,0.0,0.0,44.0,31.0,0.0,406.0,287.0,537.0,226.0,Harold C. Simmons Comprehensive Cancer Center (UTSW),"Harris, Texas",13.0,8.0,31.0,15.0,7.0,18.0,6.0,8.0,19.0,7.0,33.0,18.0,4.0,8.0,158.0,13.0,3.0,1.0,2.0,8.0,20.0,7.0,126.0,86.0,86.0,13.0,87.0,2.0,6.0,102.0,291.0,13.0
49,695480,716,8.6,22.1,25.7,15.8,25.7,17.2,25.7,25.7,18.3,0.0,0.0,32.0,33.0,33.0,242.0,156.0,271.0,120.0,Huntsman Cancer Institute (Utah),"Salt Lake, Utah",5.0,7.0,17.0,5.0,4.0,11.0,4.0,1.0,10.0,0.0,12.0,16.0,4.0,10.0,89.0,13.0,5.0,0.0,1.0,5.0,17.0,4.0,62.0,54.0,55.0,8.0,60.0,0.0,3.0,65.0,158.0,19.0
50,230149,193,2.7,24.9,95.2,54.1,100.0,89.6,26.8,68.3,3.3,0.0,0.0,80.0,181.0,40.0,47.0,19.0,192.0,14.0,Dartmouth Cancer Center,"Suffolk, Massachusetts",2.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,7.0,2.0,0.0,2.0,7.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,3.0,1.0,15.0,3.0,24.0,0.0,2.0,28.0,10.0,8.0
51,2530594,2198,0.1,8.3,40.7,31.2,40.7,4.7,11.1,42.6,4.7,0.0,0.0,52.0,49.0,20.0,311.0,191.0,618.0,61.0,VCU Massey Comprehensive Cancer Center,"Richmond, Virginia",9.0,6.0,28.0,10.0,4.0,17.0,8.0,5.0,12.0,5.0,41.0,13.0,2.0,7.0,101.0,9.0,4.0,0.0,2.0,6.0,18.0,5.0,67.0,57.0,73.0,12.0,93.0,1.0,8.0,66.0,199.0,45.0
53,2208864,1784,4.5,14.0,38.1,11.3,44.8,25.1,14.0,49.0,26.7,0.0,0.0,59.0,48.0,0.0,244.0,166.0,335.0,126.0,Fred Hutch/UW/Seattle Children's Cancer Consortium,"King, Washington",6.0,3.0,21.0,9.0,3.0,10.0,4.0,3.0,14.0,4.0,27.0,14.0,2.0,5.0,67.0,13.0,4.0,1.0,2.0,7.0,22.0,3.0,42.0,40.0,72.0,10.0,77.0,2.0,1.0,70.0,154.0,20.0
54,616111,546,7.1,22.3,91.5,60.7,91.5,56.0,41.6,92.2,57.6,0.0,0.0,125.0,125.0,53.0,64.0,15.0,273.0,7.0,UPMC Hillman Cancer Center,"Allegheny, Pennsylvania",2.0,1.0,7.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,11.0,2.0,0.0,2.0,14.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,7.0,7.0,14.0,5.0,30.0,0.0,1.0,21.0,28.0,14.0
55,1887872,1542,2.8,3.3,45.5,19.1,45.5,14.8,3.3,78.8,21.0,0.0,0.0,82.0,50.0,0.0,164.0,94.0,443.0,64.0,UW Carbone Cancer Center,"Milwaukee, Wisconsin",4.0,3.0,15.0,5.0,3.0,9.0,6.0,4.0,8.0,2.0,18.0,11.0,1.0,3.0,34.0,12.0,2.0,1.0,1.0,6.0,13.0,2.0,22.0,15.0,51.0,10.0,61.0,2.0,3.0,66.0,68.0,30.0
56,179475,160,59.2,88.2,100.0,66.6,100.0,78.9,88.2,100.0,83.9,0.0,0.0,285.0,187.0,175.0,9.0,4.0,79.0,4.0,University of Colorado Cancer Center,"Adams, Colorado",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,6.0,1.0,2.0
