state_fips,pop55,n_tracts,pct_zero_trials_within_60rdmi,pct_lt20_trials_within_60rdmi,pct_lt100_trials_within_60rdmi,pct_in_zero_trial_county,pct_gt60rdmi_broad_menu,pct_gt120rdmi_broad_menu,pct_gt60rdmi_limited_menu,pct_gt60rdmi_nci,pct_gt120rdmi_nci,pct_no_road_route_broad,pct_no_road_route_nci,median_road_mi_nci,median_road_mi_broad_menu,median_road_mi_limited_menu,wmean_trials_within_60rdmi,wmean_trials_within_30rdmi,wmean_trials_within_120rdmi,wmean_trials_in_own_county,modal_nearest_nci,modal_nearest_broad,wmean_t60_cancer_type_bladder_urothelial,wmean_t60_cancer_type_brain_cns,wmean_t60_cancer_type_breast,wmean_t60_cancer_type_colorectal,wmean_t60_cancer_type_gastric_esophageal,wmean_t60_cancer_type_gynecologic,wmean_t60_cancer_type_head_neck,wmean_t60_cancer_type_kidney,wmean_t60_cancer_type_leukemia,wmean_t60_cancer_type_liver_biliary,wmean_t60_cancer_type_lung,wmean_t60_cancer_type_lymphoma,wmean_t60_cancer_type_mds_mpn,wmean_t60_cancer_type_melanoma_skin,wmean_t60_cancer_type_myeloma,wmean_t60_cancer_type_neuroendocrine_endocrine,wmean_t60_cancer_type_other_named,wmean_t60_cancer_type_pancreatic,wmean_t60_cancer_type_prostate,wmean_t60_cancer_type_sarcoma,wmean_t60_cancer_type_multi,wmean_t60_cancer_type_other_unclassified,wmean_t60_phase_1,wmean_t60_phase_1-2,wmean_t60_phase_2,wmean_t60_phase_2-3,wmean_t60_phase_3,wmean_t60_phase_4,wmean_t60_phase_NA,wmean_t60_sponsor_academic_other,wmean_t60_sponsor_industry,wmean_t60_sponsor_nih_federal,acs_no_vehicle,acs_no_vehicle_pop_covered_pct,acs_broadband,acs_broadband_pop_covered_pct,acs_uninsured,acs_uninsured_pop_covered_pct,acs_uninsured_55_64,acs_uninsured_55_64_pop_covered_pct,acs_poverty,acs_poverty_pop_covered_pct,inc_all_rate,inc_all_rate_pop_covered_pct,inc_all_cases_sum
35,667452,612,26.9,42.7,87.4,34.6,100.0,100.0,44.5,52.2,42.4,0.0,0.0,68.0,396.0,56.0,50.0,39.0,70.0,33.0,UNM Comprehensive Cancer Center,"Denver, Colorado",1.0,1.0,10.0,3.0,2.0,8.0,2.0,2.0,3.0,2.0,9.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,7.0,0.0,1.0,3.0,14.0,4.0,27.0,0.0,0.0,16.0,24.0,10.0,5.6,100.0,83.8,100.0,9.3,100.0,10.4,100.0,17.8,100.0,373.0,100.0,10078
36,6131885,5396,2.2,4.6,21.6,13.4,21.7,9.8,7.3,24.8,9.6,0.0,0.0,18.0,11.0,0.0,792.0,620.0,1045.0,171.0,Mount Sinai Tisch Cancer Center,"New York, New York",44.0,33.0,104.0,62.0,36.0,76.0,50.0,22.0,65.0,28.0,145.0,72.0,23.0,36.0,46.0,14.0,19.0,48.0,64.0,30.0,227.0,6.0,203.0,141.0,222.0,24.0,166.0,8.0,28.0,284.0,467.0,41.0,26.3,100.0,89.7,100.0,5.0,100.0,4.7,100.0,13.3,100.0,468.0,100.0,117645
37,3150276,2672,1.0,6.4,37.9,25.1,39.8,15.3,12.5,58.7,21.1,0.0,0.0,72.0,43.0,29.0,176.0,83.0,394.0,35.0,Wake Forest Baptist Comprehensive Cancer Center,"Durham, North Carolina",9.0,7.0,23.0,11.0,6.0,17.0,9.0,4.0,19.0,2.0,25.0,18.0,6.0,7.0,15.0,3.0,4.0,9.0,12.0,6.0,40.0,1.0,32.0,25.0,45.0,8.0,61.0,1.0,5.0,51.0,103.0,22.0,5.3,100.0,88.0,100.0,10.4,100.0,10.4,100.0,13.4,100.0,480.0,100.0,61890
38,217828,228,32.1,56.9,100.0,47.7,100.0,100.0,57.2,100.0,100.0,0.0,0.0,418.0,340.0,79.0,29.0,23.0,52.0,23.0,Masonic Cancer Center (Minnesota),"Hennepin, Minnesota",1.0,0.0,4.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,7.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,10.0,2.0,16.0,0.0,0.0,17.0,4.0,8.0,5.4,100.0,87.1,100.0,6.5,100.0,6.0,100.0,10.5,100.0,454.0,99.6,4068
39,3684678,3168,0.0,0.8,17.6,16.7,22.8,0.5,4.7,42.6,0.5,0.0,0.0,54.0,38.0,0.0,277.0,154.0,594.0,98.0,OSU Comprehensive Cancer Center – James,"Cuyahoga, Ohio",18.0,9.0,27.0,18.0,7.0,30.0,16.0,10.0,28.0,7.0,54.0,23.0,8.0,12.0,15.0,7.0,5.0,11.0,20.0,11.0,64.0,2.0,48.0,44.0,69.0,13.0,95.0,2.0,6.0,80.0,165.0,31.0,7.4,100.0,88.6,100.0,6.3,100.0,6.2,100.0,13.3,100.0,473.6,100.0,71356
40,1125040,1205,14.2,22.2,63.5,56.4,63.8,24.3,22.7,63.5,26.4,0.0,0.0,97.0,95.0,26.0,80.0,61.0,186.0,39.0,Stephenson Cancer Center (Oklahoma),"Oklahoma, Oklahoma",7.0,2.0,8.0,7.0,4.0,19.0,7.0,3.0,4.0,1.0,13.0,5.0,1.0,4.0,2.0,2.0,3.0,5.0,7.0,3.0,21.0,1.0,13.0,9.0,23.0,4.0,30.0,0.0,2.0,28.0,30.0,22.0,5.4,100.0,86.7,100.0,13.5,100.0,13.3,100.0,15.4,100.0,457.8,100.0,21376
41,1316582,1001,9.4,25.9,48.2,16.1,50.5,32.2,24.5,50.9,32.2,0.0,0.0,62.0,61.0,0.0,172.0,127.0,255.0,74.0,Knight Cancer Institute (OHSU),"Washington, Oregon",8.0,3.0,21.0,14.0,7.0,21.0,12.0,7.0,18.0,5.0,39.0,15.0,6.0,9.0,7.0,4.0,3.0,9.0,15.0,7.0,41.0,0.0,25.0,24.0,46.0,10.0,65.0,1.0,1.0,50.0,104.0,18.0,6.7,100.0,91.3,100.0,6.3,100.0,6.6,100.0,12.1,100.0,418.5,100.0,22817
42,4279573,3446,0.9,3.0,24.0,9.9,36.9,5.6,7.3,38.1,6.4,0.0,0.0,47.0,45.0,0.0,343.0,188.0,958.0,93.0,Sidney Kimmel Cancer Center (Jefferson),"Philadelphia, Pennsylvania",24.0,9.0,40.0,28.0,15.0,36.0,25.0,11.0,24.0,12.0,65.0,26.0,6.0,18.0,14.0,9.0,8.0,17.0,28.0,11.0,80.0,2.0,66.0,46.0,96.0,14.0,108.0,2.0,12.0,122.0,185.0,36.0,9.7,100.0,88.5,100.0,5.5,100.0,5.1,100.0,11.5,100.0,457.2,100.0,79598
44,354109,250,0.0,0.0,0.0,14.7,0.0,0.0,0.0,27.9,0.0,0.0,0.0,53.0,0.0,0.0,603.0,114.0,907.0,65.0,Dana-Farber/Harvard Cancer Center,"Providence, Rhode Island",27.0,25.0,84.0,45.0,26.0,69.0,45.0,17.0,60.0,18.0,103.0,60.0,19.0,25.0,39.0,11.0,12.0,36.0,40.0,26.0,192.0,4.0,153.0,115.0,169.0,20.0,127.0,5.0,14.0,200.0,361.0,42.0,8.7,100.0,90.8,100.0,4.2,100.0,3.7,100.0,10.6,100.0,452.1,100.0,6486
45,1656850,1323,0.6,20.9,72.3,28.8,76.0,9.2,23.4,85.3,40.8,0.0,0.0,114.0,93.0,26.0,74.0,46.0,237.0,28.0,Hollings Cancer Center (MUSC),"Mecklenburg, North Carolina",6.0,1.0,11.0,2.0,2.0,6.0,3.0,3.0,6.0,1.0,12.0,6.0,1.0,2.0,4.0,2.0,2.0,2.0,10.0,1.0,16.0,0.0,10.0,8.0,17.0,3.0,34.0,0.0,1.0,24.0,39.0,11.0,5.7,100.0,86.7,100.0,10.1,100.0,10.1,100.0,14.3,100.0,438.8,100.0,29379
46,274034,242,23.2,67.8,69.6,55.6,68.5,49.9,68.5,100.0,98.9,0.0,0.0,242.0,119.0,108.0,45.0,33.0,72.0,27.0,Fred & Pamela Buffett Cancer Center (UNMC),"Minnehaha, South Dakota",2.0,0.0,7.0,4.0,2.0,7.0,4.0,1.0,1.0,1.0,9.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,6.0,0.0,2.0,2.0,11.0,3.0,26.0,0.0,0.0,15.0,22.0,7.0,5.1,100.0,88.0,100.0,9.0,100.0,8.4,100.0,11.5,100.0,466.8,100.0,5105
47,2079269,1701,6.5,27.1,58.1,43.2,57.8,34.4,28.0,58.3,35.0,0.0,0.0,85.0,82.0,32.0,190.0,114.0,313.0,66.0,Vanderbilt-Ingram Cancer Center,"Davidson, Tennessee",12.0,4.0,32.0,20.0,11.0,16.0,12.0,7.0,12.0,5.0,44.0,13.0,4.0,9.0,10.0,5.0,4.0,13.0,14.0,5.0,64.0,1.0,50.0,39.0,37.0,8.0,53.0,1.0,2.0,27.0,153.0,9.0,5.1,100.0,87.0,100.0,10.1,100.0,10.5,100.0,14.0,100.0,458.4,100.0,39119
48,7228377,6896,5.7,20.6,34.3,23.2,34.9,20.6,22.3,43.5,22.8,0.0,0.0,44.0,31.0,0.0,405.0,260.0,534.0,226.0,Harold C. Simmons Comprehensive Cancer Center (UTSW),"Harris, Texas",24.0,10.0,58.0,43.0,26.0,45.0,25.0,15.0,36.0,16.0,77.0,28.0,15.0,18.0,15.0,7.0,7.0,31.0,31.0,14.0,157.0,2.0,126.0,85.0,86.0,13.0,87.0,2.0,6.0,101.0,290.0,14.0,5.2,100.0,89.6,100.0,17.2,100.0,16.1,100.0,13.7,100.0,432.5,100.0,130171
49,695480,716,8.9,23.4,24.9,15.8,25.7,17.2,25.7,25.7,18.3,0.0,0.0,32.0,33.0,33.0,241.0,150.0,267.0,120.0,Huntsman Cancer Institute (Utah),"Salt Lake, Utah",11.0,9.0,40.0,25.0,16.0,28.0,16.0,3.0,18.0,4.0,44.0,25.0,7.0,13.0,16.0,9.0,1.0,24.0,23.0,7.0,89.0,1.0,62.0,53.0,55.0,8.0,60.0,0.0,3.0,64.0,158.0,19.0,3.9,100.0,92.6,100.0,8.9,100.0,7.5,100.0,8.6,100.0,422.7,100.0,12570
50,230149,193,3.6,10.2,94.7,54.1,100.0,89.6,26.8,68.3,3.3,0.0,0.0,80.0,181.0,40.0,59.0,22.0,190.0,14.0,Dartmouth Cancer Center,"Suffolk, Massachusetts",4.0,2.0,8.0,4.0,2.0,3.0,3.0,3.0,5.0,1.0,11.0,5.0,1.0,4.0,1.0,1.0,3.0,2.0,3.0,1.0,9.0,0.0,4.0,2.0,18.0,3.0,29.0,0.0,2.0,33.0,15.0,11.0,6.2,100.0,87.5,100.0,4.0,100.0,4.1,100.0,10.3,100.0,453.2,100.0,4127
51,2530594,2198,0.2,7.7,40.4,31.2,40.7,4.7,11.1,42.6,4.7,0.0,0.0,52.0,49.0,20.0,310.0,195.0,621.0,61.0,VCU Massey Comprehensive Cancer Center,"Richmond, Virginia",16.0,9.0,42.0,28.0,14.0,33.0,19.0,8.0,19.0,11.0,70.0,21.0,4.0,14.0,11.0,10.0,7.0,20.0,23.0,11.0,101.0,2.0,67.0,57.0,73.0,12.0,93.0,1.0,8.0,66.0,198.0,46.0,5.7,100.0,89.3,100.0,7.0,100.0,6.8,100.0,10.2,100.0,416.7,98.8,42728
53,2208864,1784,5.1,14.3,34.3,11.3,44.8,25.1,14.0,49.0,26.7,0.0,0.0,59.0,48.0,0.0,239.0,142.0,333.0,126.0,Fred Hutch/UW/Seattle Children's Cancer Consortium,"King, Washington",12.0,5.0,33.0,20.0,10.0,19.0,11.0,6.0,28.0,6.0,47.0,24.0,12.0,10.0,13.0,8.0,7.0,14.0,26.0,7.0,65.0,2.0,41.0,38.0,70.0,10.0,77.0,2.0,1.0,68.0,151.0,20.0,6.6,100.0,92.7,100.0,6.3,100.0,6.2,100.0,10.0,100.0,441.5,100.0,40160
