rank_zero,rank_lt20,name,name_is_placeholder,city,state,zip,county_name,county_fips,pop55_newly_covered_zero,pop55_newly_covered_lt20,tracts_within_60rdmi,county_trials,n_trials_hosted_2016plus,geocode,access_mi,lat,lon,source
538,417,"Tennessee Oncology, PLLC,1840 Medical Center Parkway",0,Murfreesboro,TN,37129,Rutherford,47149,0,42264,461,7,2,zip,1.0,35.929834,-86.450822,registry_stand_in
539,423,USO - Texas Oncology,0,Fredericksburg,TX,78624,Gillespie,48171,0,41289,68,4,1,zip,0.8,30.291786,-98.870915,registry_stand_in
540,424,785,0,Denison,TX,75020,Grayson,48181,0,41111,274,12,1,zip,1.3,33.772722,-96.606962,registry_stand_in
541,425,MorphoSys Research Site,1,Denison,TX,75020,Grayson,48181,0,41111,274,12,1,zip,1.3,33.772722,-96.606962,registry_stand_in
542,426,Research-0,0,Denison,TX,75020,Grayson,48181,0,41111,274,12,1,zip,1.3,33.772722,-96.606962,registry_stand_in
543,427,Texas Oncology - Denison,0,Denison,TX,75020,Grayson,48181,0,41111,274,12,3,zip,1.3,33.772722,-96.606962,registry_stand_in
544,428,Texas Oncology - Denison - 1139,0,Denison,TX,75020,Grayson,48181,0,41111,274,12,1,zip,1.3,33.772722,-96.606962,registry_stand_in
545,429,Texas Oncology - Dension,0,Denison,TX,75020,Grayson,48181,0,41111,274,12,1,zip,1.3,33.772722,-96.606962,registry_stand_in
546,430,TxO - Denison Cancer Center,0,Denison,TX,75020,Grayson,48181,0,41111,274,12,1,zip,1.3,33.772722,-96.606962,registry_stand_in
547,431,USO - Texas Oncology,0,Denison,TX,75020,Grayson,48181,0,41111,274,12,1,zip,1.3,33.772722,-96.606962,registry_stand_in
548,432,Covenant Medical Center,0,Waterloo,IA,50702,Black Hawk,19013,0,40925,148,2,2,zip,0.1,42.461502,-92.313745,registry_stand_in
549,433,MercyOne Waterloo Cancer Center,0,Waterloo,IA,50702,Black Hawk,19013,0,40925,148,2,8,zip,0.1,42.461502,-92.313745,registry_stand_in
550,434,MercyOne Waterloo Medical Center,0,Waterloo,IA,50702,Black Hawk,19013,0,40925,148,2,1,zip,0.1,42.461502,-92.313745,registry_stand_in
551,435,137M,0,Hendersonville,TN,37075,Sumner,47165,0,40374,489,4,1,zip,0.3,36.339969,-86.607922,registry_stand_in
552,436,801-A,0,Hendersonville,TN,37075,Sumner,47165,0,40374,489,4,1,zip,0.3,36.339969,-86.607922,registry_stand_in
553,437,928-A,0,Hendersonville,TN,37075,Sumner,47165,0,40374,489,4,1,zip,0.3,36.339969,-86.607922,registry_stand_in
554,438,"SCRI TO Nashville- Hendersonville Tennessee Oncology, PLLC",0,Hendersonville,TN,37075,Sumner,47165,0,40374,489,4,1,zip,0.3,36.339969,-86.607922,registry_stand_in
555,439,"Tenessee Oncology, PLLC",0,Hendersonville,TN,37075,Sumner,47165,0,40374,489,4,1,zip,0.3,36.339969,-86.607922,registry_stand_in
556,440,Tennessee Oncology - Hendersonville Clinic,0,Hendersonville,TN,37075,Sumner,47165,0,40374,489,4,1,zip,0.3,36.339969,-86.607922,registry_stand_in
557,441,"Tennessee Oncology, PLLC,353 New Shackle Island Road",0,Hendersonville,TN,37075,Sumner,47165,0,40374,489,4,2,zip,0.3,36.339969,-86.607922,registry_stand_in
558,444,Caceres Specialized Gynecology,0,Kissimmee,FL,34741,Osceola,12097,0,39847,792,12,1,zip,0.7,28.306299,-81.426933,registry_stand_in
559,445,Florida Hospital Cancer Institute - Kissimmee,0,Kissimmee,FL,34741,Osceola,12097,0,39847,792,12,1,zip,0.7,28.306299,-81.426933,registry_stand_in
560,446,Kissimmee,1,Kissimmee,FL,34741,Osceola,12097,0,39847,792,12,2,zip,0.7,28.306299,-81.426933,registry_stand_in
561,447,Sanford Health,0,Worthington,MN,56187,Nobles,27105,0,39149,56,11,1,zip,0.2,43.62287,-95.583243,registry_stand_in
562,448,Sanford Worthington Medical Center,0,Worthington,MN,56187,Nobles,27105,0,39149,56,11,2,zip,0.2,43.62287,-95.583243,registry_stand_in
563,449,Site US10025,1,Newburgh,NY,12550,Orange,36071,0,38639,1366,3,1,zip,0.3,41.539574,-74.057223,registry_stand_in
564,450,Arrivent Investigative Site,1,Fairhaven,MA,02719,Bristol,25005,0,38515,924,2,1,zip,0.7,41.633667,-70.871362,registry_stand_in
565,451,Southcoast Center For Cancer,0,Fairhaven,MA,02719,Bristol,25005,0,38515,924,2,1,zip,0.7,41.633667,-70.871362,registry_stand_in
566,452,Southcoast Center for Cancer Care,0,Fairhaven,MA,02719,Bristol,25005,0,38515,924,2,1,zip,0.7,41.633667,-70.871362,registry_stand_in
567,453,Southcoast Health System,0,Fairhaven,MA,02719,Bristol,25005,0,38515,924,2,1,zip,0.7,41.633667,-70.871362,registry_stand_in
568,455,Christus Health - Christus St. Vincent Regional Medical Center,0,Santa Fe,NM,87505,Santa Fe,35049,0,38092,123,13,1,zip,2.8,35.619797,-105.866983,registry_stand_in
569,456,Christus Saint Vincent Regional Cancer Center,0,Santa Fe,NM,87505,Santa Fe,35049,0,38092,123,13,9,zip,2.8,35.619797,-105.866983,registry_stand_in
570,457,Christus St. Vincent's Regional Cancer Center,0,Santa Fe,NM,87505,Santa Fe,35049,0,38092,123,13,1,zip,2.8,35.619797,-105.866983,registry_stand_in
571,458,Processa Clinical Site,1,Santa Fe,NM,87505,Santa Fe,35049,0,38092,123,13,1,zip,2.8,35.619797,-105.866983,registry_stand_in
572,459,Quantum Santa Fe,0,Santa Fe,NM,87505,Santa Fe,35049,0,38092,123,13,4,zip,2.8,35.619797,-105.866983,registry_stand_in
573,460,Research-0,0,Sante Fe,NM,87505,Santa Fe,35049,0,38092,123,13,1,zip,2.8,35.619797,-105.866983,registry_stand_in
574,461,Saint Joseph Regional Medical Center,0,Lewiston,ID,83501,Nez Perce,16069,0,37977,34,1,1,zip,8.5,46.251696,-116.925017,registry_stand_in
575,462,Circuit Clinical,0,Middletown,NY,10941,Orange,36071,0,37805,874,3,1,zip,2.2,41.490413,-74.345272,registry_stand_in
576,463,Circuit Clinical /Crystal Run Healthcare LLP,0,Middletown,NY,10941,Orange,36071,0,37805,874,3,1,zip,2.2,41.490413,-74.345272,registry_stand_in
577,464,Crystal Run Healthcare,0,Middletown,NY,10941,Orange,36071,0,37805,874,3,2,zip,2.2,41.490413,-74.345272,registry_stand_in
578,465,Orange Regional Medical Center,0,Middletown,NY,10940,Orange,36071,0,37805,689,3,1,zip,2.2,41.446544,-74.478741,registry_stand_in
579,466,Mid Hudson Medical Research,0,New Windsor,NY,12553,Orange,36071,0,37636,2158,3,2,zip,0.4,41.460412,-74.071917,registry_stand_in
580,472,890,0,Sherman,TX,75090,Grayson,48181,0,37241,435,12,1,zip,1.4,33.604131,-96.550405,registry_stand_in
581,473,Texas Cancer Center - Sherman,0,Sherman,TX,75090,Grayson,48181,0,37241,435,12,1,zip,1.4,33.604131,-96.550405,registry_stand_in
582,474,"Texas Oncology, P.A.",0,Sherman,TX,75090,Grayson,48181,0,37241,435,12,1,zip,1.4,33.604131,-96.550405,registry_stand_in
583,475,"Texas Oncology, P.A. - Sherman",0,Sherman,TX,75090,Grayson,48181,0,37241,435,12,1,zip,1.4,33.604131,-96.550405,registry_stand_in
