nct_id,brief_title,conditions,cancer_type_label,multi_subtype,categories_matched,hand_check_category,agree,first_pass_label,first_pass_agree,note
NCT07223034,A Study of 177Lu-PSMA-617 in People With Gliomas,"Glioma;Diffuse Astrocytoma, IDH-Wildtype (Grade 2-4);Glioblastoma, IDH-wildtype;Diffuse Midline Glioma, H3 K27-Altered;Diffuse Hemispheric Glioma, H3 G34-mutant;Diffuse Pediatric-type High-grade Glioma, H3-wildtype and IDH-wildtype",Brain & CNS,,brain_cns,Brain & CNS,1,Brain & CNS,1,
NCT06663319,A Study of JNJ-89402638 for Metastatic Colorectal and Gastric Cancers,Colorectal Neoplasms;Gastrointestinal Neoplasms,Multiple cancer types / basket or umbrella,title names additional cancers,colorectal;gastric_esophageal,Multiple cancer types / basket or umbrella,1,Colorectal,0,
NCT06840262,Target Muscle Re-innervation and Regenerative Peripheral Nerve Interfaces Alone and in Combination for the Treatment of Residual and Phantom Limb Pain in Cancer Patients Who Have Received an Amputation,Amputation,Other / unclassified,,,Other / unclassified,1,Other / unclassified,1,"Amputation trial - non-oncology screen leak, correctly left unclassified (flagged for manual review)"
NCT07085091,A First in Human Study of ALX2004 With Advanced or Metastatic Selected Solid Tumors,NSCLC (Advanced Non-small Cell Lung Cancer);HNSCC;CRC (Colorectal Cancer);ESCC;Colo-rectal Cancer;Head and Neck Cancer;Esophageal Squamous Cell Carcinoma (ESCC),Multiple cancer types / basket or umbrella,multiple named cancers,colorectal;gastric_esophageal;head_neck;lung,Multiple cancer types / basket or umbrella,1,Multiple cancer types / basket or umbrella,1,
NCT02701153,Phase II Study of 5-Day Hypofractionated Preoperative Radiation Therapy for Soft Tissue Sarcomas: Expansion Cohort,Recurrent Adult Soft Tissue Sarcoma,Sarcoma,,sarcoma,Sarcoma,1,Sarcoma,1,
NCT07301268,GI-102 Alone or With Pembrolizumab Before Surgery for Treatment of Recurrent or Progressive IDH Wildtype Glioblastoma and IDH Mutated Grade 4 Astrocytoma,"Glioblastoma, IDH-Wildtype;Progressive Astrocytoma, IDH-Mutant, Grade 4;Progressive Glioblastoma;Progressive Gliosarcoma;Recurrent Astrocytoma, IDH-Mutant, Grade 4;Recurrent Glioblastoma, IDH-Wildtype;Recurrent Gliosarcoma;Resectable Astrocytoma;Resectable Glioblastoma",Brain & CNS,,brain_cns,Brain & CNS,1,Multiple cancer types / basket or umbrella,0,
NCT05568680,"SynKIR-110 for Mesothelin Expressing Ovarian Cancer, Cholangiocarcinoma or Mesothelioma","Ovarian Cancer;Cholangiocarcinoma Recurrent;Mesothelioma, Malignant",Multiple cancer types / basket or umbrella,multiple named cancers,gynecologic;liver_biliary;lung,Multiple cancer types / basket or umbrella,1,Multiple cancer types / basket or umbrella,1,
NCT04169737,"Acalabrutinib and Venetoclax With or Without Early Obinutuzumab for the Treatment of High Risk, Recurrent, or Refractory Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma",Recurrent Chronic Lymphocytic Leukemia;Recurrent Small Lymphocytic Lymphoma;Refractory Chronic Lymphocytic Leukemia;Refractory Small Lymphocytic Lymphoma,Leukemia,,leukemia,Leukemia,1,Leukemia,1,
NCT07128381,"Phase I/II Clinical Trial of Axatilimab, a CSF1R Monoclonal Antibody, in Combination With Ruxolitinib as Therapy for Patients With Myelofibrosis (MF) and Chronic Myelomonocytic Leukemia (CMML)",Myelofibrosis (MF);Chronic Myelomonocytic Leukemia (CMML),MDS & MPN,,mds_mpn,MDS & MPN,1,Multiple cancer types / basket or umbrella,0,
NCT06794645,Pembrolizumab and Pemetrexed for Progressive Chordoma,Chordomas;Chordoma,Sarcoma,,sarcoma,Sarcoma,1,Sarcoma,1,
NCT03861676,Image-guided Focal Brachytherapy Utilizing Combined 18F-DCFPyl PET/CT,Prostate Cancer,Prostate,,prostate,Prostate,1,Prostate,1,
NCT06256588,A Study of Dostarlimab vs Placebo After Chemoradiation in Adult Participants With Locally Advanced Unresected Head and Neck Squamous Cell Carcinoma,"Neoplasms, Head and Neck",Head & neck,,head_neck,Head & neck,1,Head & neck,1,
NCT05549661,Onvansertib for the Treatment of Recurrent or Refractory Chronic Myelomonocytic Leukemia and Myelodysplastic Syndrome/MPN Overlap Neoplasms,"Recurrent Chronic Myelomonocytic Leukemia;Refractory Chronic Myelomonocytic Leukemia;Myelodysplastic/Myeloproliferative Neoplasm, Not Otherwise Specified;Recurrent Atypical Chronic Myeloid Leukemia;Recurrent Myelodysplastic/Myeloproliferative Neoplasm;Refractory Myelodysplastic/Myeloproliferative Neoplasm",MDS & MPN,,mds_mpn,MDS & MPN,1,Multiple cancer types / basket or umbrella,0,
NCT05624918,A Study of NovoTTF-200T(P) in Combination With Gemcitabine and Nab-Paclitaxel for Resectable Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma;Resectable Pancreatic Cancer,Pancreatic,,pancreatic,Pancreatic,1,Pancreatic,1,
NCT06071624,"Chimeric Antigen Receptor T Cell Therapy Redirected to CD4 (CD4CAR)as a Second Line Treatment for Chronic Myelomonocytic Leukemia, CMML.",Chronic Myelomonocytic Leukemia,MDS & MPN,,mds_mpn,MDS & MPN,1,Multiple cancer types / basket or umbrella,0,
NCT03758989,A Study of PET Adapted Therapy and Non-invasive Monitoring for Previously Untreated Limited Stage Diffuse Large B Cell Lymphoma,DLBCL,Lymphoma,,lymphoma,Lymphoma,1,Lymphoma,1,
