site_id,county_fips,name,city,zip,n_rows,unresolved
S00047,01073,"UAB, Psychiatry and Behavioral Neurology",Birmingham,35209,1,0
S00048,01073,Uni of Alabama at Birmingham,Birmingham,35249,1,0
S00049,01073,Univ of Alabama at Birmingham,Birmingham,,1,0
S00050,01073,University of Alabama,Birmingham,35294,4,0
S00051,01073,University of Alabama_6th Ave,Birmingham,35294,1,0
S00052,01073,University of Alabama at Birmingham,Birmingham,35294,54,0
S00053,01073,University of Alabama at Birmingham Cancer Center,Birmingham,35233,22,0
S00054,01073,University of Alabama at Birmingham (Children's of Alabama,Birmingham,35233,1,0
S00055,01073,University of Alabama at Birmingham Comprehensive Cancer Center,Birmingham,35294,1,0
S00056,01073,University of Alabama At Birmingham Hospital,Birmingham,35233,8,0
S00057,01073,"University of Alabama at Birmingham, IDS Pharmacy",Birmingham,35249,2,0
S00058,01073,University of Alabama at Birmingham O'Neal Comprehensive Cancer Center,Birmingham,35233,2,0
S00059,01073,University of Alabama at Birmingham: The Kirklin Clinic,Birmingham,35233,1,0
S00060,01073,University of Alabama at Birmingham (UAB) Hazelrig-Salter Radiation Oncology Center,Birmingham,35249,1,0
S00061,01073,University of Alabama at Birmingham (UAB) Hazelrig-Salter Radiation Oncology Center (HSROC,Birmingham,35233,1,0
S00062,01073,University of Alabama at Birmingham (UAB) Hospital,Birmingham,35294,1,0
S00063,01073,University of Alabama at Birmingham Womens & Infants Center,Birmingham,35233,1,0
S00064,01073,University of Alabama Birmingham,Birmingham,35249,9,0
S00065,01073,University of Alabama Medicine (UAB Medicine,Birmingham,35233,1,0
S00066,01073,University of Alabama O'Neal Cancer Center,Birmingham,35233,1,0
S00067,01073,Urology Centers of Alabama,Homewood,35209,3,0
S00068,01089,Clearview Cancer Institute,Huntsville,35805,10,0
S00069,01089,Clearview Cancer Institute (Crestwood,Huntsville,35801,2,0
S00070,01089,Clearview Cancer Institute - Huntsville - Cci Drive,Huntsville,35805,1,0
S00071,01097,Site 164,Mobile,36607,1,1
S00072,01097,Clinical Study Site,Mobile,36604,1,0
S00073,01097,GSK Investigational Site,Mobile,36607,1,0
S00074,01097,Gulf Health Hospitals Inc/Infirmary Cancer Care - Saraland,Saraland,36571,4,0
S00075,01097,Infirmary Cancer Care,Mobile,36607,5,0
S00076,01097,Mitchell Cancer Institute,Mobile,36693,1,0
S00077,01097,Mobile Infirmary Medical Center,Mobile,36607,7,0
S00078,01097,Ohio State University-Telemedicine,Mobile,36604,1,0
S00079,01097,Research Site,Mobile,36608,1,1
S00080,01097,"The University of South Alabama, Mitchell Cancer Institute",Mobile,36604,1,0
S00081,01097,University of South Alabama Mitchell Cancer Institute,Mobile,36688,6,0
S00082,01097,University of South Alabama (USA) Health System - USACM,Mobile,36606,1,0
S00083,01097,Urology Associates of Mobile,Mobile,56608,1,0
S00084,01097,Usa Health Mitchell Cancer Institute,Mobile,36604,1,0
S00085,01097,USA Health Strada Patient Care Center,Mobile,36604,1,0
S00086,01097,USA Mitchell Cancer Institute,Mobile,36604,6,0
S00087,01097,USAH Mitchell Cancer Inst,Mobile,36604,1,0
S00088,01101,Ohio State University Telemedicine,Montgomery,36104,1,0
S00089,01117,"Alabama Oncology, Shelby",Alabaster,35007,1,0
S00090,01125,Clinical Study Site,Tuscaloosa,35487,1,0
S00091,01125,Lewis and Faye Manderson Cancer Center,Tuscaloosa,35401,1,0
S00092,02020,Alaska Breast Care and Surgery LLC,Anchorage,99508,19,0
S00093,02020,Alaska Oncology and Hematology,Anchorage,99508,8,0
S00094,02020,Alaska Oncology and Hematology LLC,Anchorage,99508,24,0
S00095,02020,"Alaska Oncology & Hematology, LLC",Anchorage,99508,2,0
S00096,02020,Alaska Women's Cancer Care,Anchorage,99508,25,0
S00097,02020,Alaska Womens Cancer Care,Anchorage,99508,2,0
S00098,02020,Anchorage Associates in Radiation Medicine,Anchorage,98508,19,0
S00099,02020,Anchorage Oncology Centre,Anchorage,99508,3,0
S00100,02020,Anchorage Radiation Therapy Center,Anchorage,99504,3,0
S00101,02020,Investigative Site US016,Anchorage,99508,1,0
S00102,02020,Katmai Oncology Group,Anchorage,99508,25,0
S00103,02020,Ohio State University-Telemedicine,Anchorage,99508,1,0
S00104,02020,Providence Alaska Medical Center,Anchorage,99508,21,0
S00105,02020,Research Site,Anchorage,99508,3,1
S00106,02290,Fairbanks Memorial Hospital,Fairbanks,99701,14,0
S00107,04005,Ohio State University Telemedicine,Flagstaff,86001,1,0
S00108,04013,Investigative Site #132,Phoenix,85054,4,1
S00109,04013,Academic Urology and Urogynecology of Arizona,Sun City,85351,1,0
S00110,04013,Alliance Dermatology,Phoenix,85032,1,0
S00111,04013,Arizona Arthritis & Rheumatology Associates,Gilbert,85032,2,0
S00112,04013,Arizona Center for Cancer Care,Tempe,85284,1,0
S00113,04013,Arizona Center for Cancer Care - Gilbert,Gilbert,85297,1,0
S00114,04013,Arizona Center for Cancer Care-Peoria,Peoria,85381,1,0
S00115,04013,Arizona Center for Cancer Care - Phoenix,Phoenix,85027,1,0
S00116,04013,Arizona Center for Cancer Care - Scottsdale,Scottsdale,85258,1,0
S00117,04013,Arizona Center for Cancer Care-Surprise,Surprise,85374,1,0
S00118,04013,Arizona Clinical Trials,Chandler,85225,1,0
S00119,04013,Arizona State University,Phoenix,85004,1,0
S00120,04013,Arizona State University-Honor Health Research Institute,Scottsdale,85258,1,0
S00121,04013,"Arizona State Urological Research Institute, LLC (""ASURI""",Chandler,85225,1,0
S00122,04013,Avenzo Therapeutics Recruiting Site,Gilbert,85234,1,0
S00123,04013,Banner Boswell Medical Center,Sun City,85351,2,0
S00124,04013,Banner Children's at Desert,Mesa,85202,2,0
S00125,04013,Banner Gateway Medical Center,Gilbert,85234,1,0
S00126,04013,Banner Health,Gilbert,35234,2,0
S00127,04013,Banner Health/Banner Research,Phoenix,85234,1,0
S00128,04013,Banner Health MD Anderson,Gilbert,85234,1,0
S00129,04013,Banner Health MD Anderson AZ,Gilbert,85234,1,0
S00130,04013,Banner Health- MD Anderson Cancer Center,Gilbert,85234,2,0
S00131,04013,Banner MD Anderson,Gilbert,85234,3,0
S00132,04013,Banner MD Anderson Cancer Center,Gilbert,85234,44,0
S00133,04013,Banner MD Anderson Cancer Center-Oncology,Gilbert,85234,1,0
S00134,04013,Banner MD Anderson Cancer Center - University Medical Center Phoenix,Phoenix,85006,2,0
S00135,04013,Banner-University Medical Center Phoenix,Phoenix,85006,3,0
S00136,04013,Banner University Medical Center - Phoenix Campus (Banner Good Samaritan Medical Center,Phoenix,85006,1,0
S00137,04013,"Banner University Medical Center Tucson, University of Arizona",Phoenix,85004,1,0
S00138,04013,Barrow Brain and Spine,Phoenix,85013,1,0
S00139,04013,Cancer Center at Saint Joseph's,Phoenix,85004,23,0
S00140,04013,Cancer Treatment Center of America Phoenix,Goodyear,85338,1,0
S00141,04013,Cancer Treatment Centers of America-Phoenix,Phoenix,85338,2,0
S00142,04013,CBCC Global Research,Scottsdale,85258,1,0
S00143,04013,Chandler Regional Medical Center,Chandler,85224,1,0
S00144,04013,City of Hope,Phoenix,85338,1,0
S00145,04013,City of Hope Arizona,Goodyear,85338,1,0
S00146,04013,City of Hope Cancer Center Phoenix,Goodyear,85338,3,0
S00147,04013,City of Hope Phoenix,Goodyear,85338,8,0
S00148,04013,City of Hope Phoenix Cancer Center,Goodyear,85338,2,0
S00149,04013,Clinical Study Site,Goodyear,85338,3,0
S00150,04013,Clinical Trial Site,Goodyear,85338,2,0
S00151,04013,Clinical Trials Nurse Navigator,Scottsdale,85258,1,0
S00152,04013,Crinetics Study Site,Phoenix,85054,1,0
S00153,04013,CTCA at Western Regional Medical Center,Goodyear,85338,6,0
S00154,04013,East Valley Urology Center of Arizona,Mesa,85206,1,0
S00155,04013,Exelixis,Phoenix,85054,1,0
S00156,04013,GSK Investigational Site,Phoenix,85054,3,0
S00157,04013,Honor Health,Scottsdale,85258,8,0
S00158,04013,Honor Health Clinical Research,Scottsdale,85258,1,0
S00159,04013,Honor Health Resarch Institute,Scottsdale,85258,1,0
S00160,04013,Honor Health Research Institute,Scottsdale,85258,8,0
S00161,04013,HonorHealth,Scottsdale,85258,11,0
S00162,04013,HonorHealth Cancer Center,Scottsdale,85251,1,0
S00163,04013,HonorHealth Medical Group,Scottsdale,,1,0
S00164,04013,HonorHealth Research and Innovation Institute,Scottsdale,85258,1,0
S00165,04013,HonorHealth Research Insisute,Scottsdale,85258,1,0
S00166,04013,HonorHealth Research Inst,Phoenix,85016,1,0
S00167,04013,HonorHealth Research Institiute,Scottsdale,85258,1,0
S00168,04013,HonorHealth Research Institute,Scottsdale,85258,17,0
S00169,04013,HonorHealth Scottsdale Osborn Medical Center,Scottsdale,85251,1,0
S00170,04013,I-Mab,Goodyear,85338,1,0
S00171,04013,Ironwood Cancer and Research Center,Chandler,85224,3,0
S00172,04013,Ironwood Cancer and Research Centers,Chandler,85224,3,0
S00173,04013,Ironwood Cancer and Research Centers - Chandler II,Chandler,85224,2,0
S00174,04013,Ironwood Cancer and Research Centers Scottsdale,Chandler,85224,1,0
S00175,04013,Ironwood Cancer & Research Centers,Chandler,85224,47,0
S00176,04013,Ironwood Cancer & Research Centers-Research,Chandler,85224,1,0
S00177,04013,Ironwood Physicians P.C. dba Ironwood Cancer and Research Centers,Mesa,85224,8,0
S00178,04013,Mayo Clinic,Phoenix,85054,21,0
S00179,04013,Mayo Clinic 1,Phoenix,85054,1,0
S00180,04013,Mayo Clinic Arizona,Phoenix,85054,31,0
S00181,04013,Mayo Clinic Building- Phoenix,Phoenix,85054,2,0
S00182,04013,Mayo Clinic Cancer Center,Phoenix,85054,3,0
S00183,04013,Mayo Clinic Comprehensive Cancer Center,Phoenix,85054,3,0
S00184,04013,Mayo Clinic-Comprehensive Cancer Center-Breast Clinic,Phoenix,85054,1,0
S00185,04013,Mayo Clinic Hospital,Phoenix,85054,12,0
S00186,04013,Mayo Clinic Hospital - Arizona,Phoenix,85054,1,0
S00187,04013,Mayo Clinic Hospital in Arizona,Phoenix,85054,28,0
S00188,04013,Mayo Clinic Hospital Scottsdale,Scottsdale,85259,1,0
S00189,04013,Mayo Clinic in Arizona,Scottsdale,85259,30,0
S00190,04013,Mayo Clinic in Arizona - Phoenix,Phoenix,85054,7,0
S00191,04013,Mayo Clinic Phoenix,Phoenix,85054,8,0
S00192,04013,Mayo Clinic Scottsdale,Scottsdale,85259,4,0
S00193,04013,Mayo Clinic - Scottsdale Arizona,Scottsdale,85054,1,0
S00194,04013,Mayo Clinic Scottsdale - PPDS,Scottsdale,85259,2,0
S00195,04013,Mayo Foundation for Medical Education and Research - Mayo Cl,Scottsdale,85259,1,0
S00196,04013,Mayo Scottsdale,Scottsdale,85281,1,0
S00197,04013,Medical Dermatology Specialists,Phoenix,85006,1,0
S00198,04013,Medical Dermatology Specialists - Phoenix,Phoenix,85006,1,0
S00199,04013,Ohio State University-Telemedicine,Phoenix,85054,1,0
S00200,04013,Palo Verde Cancer Specialists,Glendale,85304,1,0
S00201,04013,Palo Verde Hematology Oncology,Glendale,85304,5,0
S00202,04013,"Palo Verde Hematology/ Oncology Center, Ltd.",Glendale,85304,1,0
S00203,04013,Phoenix Children's Hospital,Phoenix,85016,2,0
S00204,04013,Phoenix Childrens Hospital,Phoenix,85016,2,0
S00205,04013,Research Facility,Phoenix,85054,1,1
S00206,04013,Research Site,Phoenix,85054,23,1
S00207,04013,St. Joseph's Hospital and Medical Center,Phoenix,85013,9,0
S00208,04013,SunValley Arthritis Center Ltd.,Peoria,85381,1,0
S00209,04013,The Dignity Health Cancer Institute,Phoenix,85004,1,0
S00210,04013,University of Arizona,Phoenix,85004,1,0
S00211,04013,Us Dermatology Parthners,Phoenix,85006,1,0
S00212,04013,USOR HonorHealth,Phoenix,85016,1,0
S00213,04013,Western Reg MC-COH Phoenix,Goodyear,85338,1,0
S00214,04013,Western Regional Medical Center - City of Hope Phoenix Goodyear,Goodyear,85338,1,0
S00215,04013,"Western Regional Medical Center, LLC",Goodyear,85338,1,0
S00216,04013,Xencor Investigative Site,Phoenix,85054,1,0
S00217,04015,GSK Investigational Site,Bullhead City,86442,1,0
S00218,04015,Kingman Regional Medical Center,Kingman,86401,19,0
S00219,04015,Mohtaseb Cancer Center & Blood Disorders,Bullhead City,86442,1,0
S00220,04015,Pioneer Research Center,Bullhead City,86442,1,0
S00221,04015,"Pioneer Research Center, LLC",Bullhead City,86442,1,0
S00222,04019,ACRC Arizona Clinical Research Center,Tucson,85715,1,0
S00223,04019,Arizona Arthritis & Rheumatology Associates,Tucson,85704,1,0
S00224,04019,Arizona Cancer Center at UMC North,Tucson,85719,1,0
S00225,04019,Arizona Cancer Center at UMC North/University Medical Center,Tucson,85719,1,0
S00226,04019,Arizona Cancer Center at University of Arizona,Tucson,85719,1,0
S00227,04019,Arizona Clinical Research Center,Tucson,85715,2,0
S00228,04019,"Arizona Clinical Research Center, Inc.",Tucson,85715,1,0
S00229,04019,Arizona Oncology Associates,Tucson,85711,2,0
S00230,04019,Arizona Oncology - Tucson - Rudasill,Tucson,85704,1,0
S00231,04019,Arizona Urology Specialists,Tucson,85715,2,0
S00232,04019,Ascentage Investigative Site,Tuscon,85742,1,0
S00233,04019,Banner University Medical Center - Tucson,Tucson,85719,30,0
S00234,04019,Center for Neurosciences,Tucson,85718,2,0
S00235,04019,Exelixis,Tucson,85711,1,0
S00236,04019,GSK Investigational Site,Tucson,85715,1,0
S00237,04019,Ohio State University-Telemedicine,Tucson,85719,1,0
S00238,04019,Research,Tucson,85711,1,0
S00239,04019,Research Facility,Tucson,85719,1,1
S00240,04019,Research Site,Tucson,85719,5,1
S00241,04019,"Roche Tissue Diagnostics, Companion Diagnostics",Tucson,85755,1,0
S00242,04019,"SCRI - Arizona Oncology Associates, PC-HOPE",Tucson,85711,1,0
S00243,04019,Southern Arizona VA Health Care System,Tucson,85723,1,0
S00244,04019,Southern VA Health Care System,Tucson,85723,1,0
S00245,04019,The University of Arizona Cancer Center,Tucson,85724,7,0
S00246,04019,The University of Arizona Cancer Center - North Campus,Tucson,85719,12,0
S00247,04019,Tucson Medical Center HealthCare,Tucson,85704,1,0
S00248,04019,University of Arizona,Tucson,85724,8,0
S00249,04019,University of Arizona Cancer Center,Tucson,85719,24,0
S00250,04019,University of Arizona Cancer Center-North Campus,Tucson,85719,33,0
S00251,04019,University of Arizona Cancer Center-Orange Grove Campus,Tucson,85704,3,0
S00252,04019,University of Arizona Cancer Center - Tucson,Tucson,85724,1,0
S00253,04019,University of Arizona Cancer Center-University of Arizona Cancer Center,Tucson,85719,3,0
S00254,04019,USOR Arizona Oncology Associates,Tucson,85711,1,0
S00255,04021,East Valley Urology Center,Queen Creek,85140,1,0
S00256,04021,East Valley Urology Center of Arizona,Queen Creek,85140,3,0
S00257,04025,USOR - Arizona Oncology - Prescott Valley,Prescott Valley,86301,1,0
S00258,05007,Exelixis,Rogers,72758,1,0
S00259,05007,Highlands Oncology,Rogers,72758,1,0
S00260,05007,Highlands Oncology Group,Rogers,72758,6,0
S00261,05007,"Highlands Oncology Group, PA",Rogers,72758,5,0
S00262,05007,Highlands Oncology Group - Rogers,Rogers,72758,14,0
S00263,05031,Clinical Study Sites,Jonesboro,72401,1,0
S00264,05031,GSK Investigational Site,Jonesboro,72401,1,0
S00265,05031,NEA Baptist Memorial Hospital and Fowler Family Cancer Center - Jonesboro,Jonesboro,72401,23,0
S00266,05031,St. Bernard's Medical Center,Jonesboro,72401,2,0
S00267,05031,St. Bernards Healthcare,Jonesboro,72401,1,0
S00268,05031,St Bernards Medical Center,Jonesboro,72401,1,0
S00269,05045,"Central Arkansas Radiation Therapy Institute, dba CARTI",Conway,72034,1,0
S00270,05051,Clinical Study Site,Hot Springs,71913,1,0
S00271,05051,Genesis Cancer and Blood Institute,Hot Springs,71913,5,0
S00272,05051,Genesis Cancer and Blood Institute Hot Springs (Harmony Park,Hot Springs,71913,1,0
S00273,05051,Ohio State University-Telemedicine,Hot Springs,71913,1,0
S00274,05069,"Central Arkansas Radiation Therapy Institute, dba CARTI",Pine Bluff,71603,1,0
S00275,05119,Arkansas Children's Hospital,Little Rock,72202,3,0
S00276,05119,Arkansas Research Trials,North Little Rock,72117,1,0
S00277,05119,Arkansas Urology,Little Rock,72211,7,0
S00278,05119,Arkansas Urology Associates,Little Rock,72211,1,0
S00279,05119,Arkansas Urology - Little Rock,Little Rock,72211,1,0
S00280,05119,"Arkansas Urology, North Little Rock",Little Rock,72211,2,0
S00281,05119,Baptist Health Medical Center - Little Rock,Little Rock,72205,2,0
S00282,05119,CARTI Cancer Center,Little Rock,72205,16,0
S00283,05119,"Central Arkansas Radiation Therapy Institute, dba CARTI",North Little Rock,72117,1,0
S00284,05119,"Michael Birrer, MD, PhD",Little Rock,72205,1,0
S00285,05119,Proton Center of Arkansas,Little Rock,72205,1,0
S00286,05119,Research Site,Little Rock,72205,3,1
S00287,05119,UAMS,Little Rock,72205,1,0
S00288,05119,UAMS Winthrop P. Rockefeller Cancer Institute,Little Rock,72205,1,0
S00289,05119,University of Arkansas,Little Rock,72205,2,0
S00290,05119,University of Arkansas at Little Rock,Little Rock,72204,1,0
S00291,05119,University of Arkansas for Medical Sciences,Little Rock,72205,47,0
S00292,05119,University of Arkansas Medical School,Little Rock,72205,1,0
S00293,05119,University of Arkansas Medical Sciences,Little Rock,72205,1,0
S00294,05119,University of Arkansas Winthrop P. Rockefeller Cancer Institute,Little Rock,72205,4,0
S00295,05125,"Central Arkansas Radiation Therapy Institute, dba CARTI",Bryant,72022,1,0
S00296,05131,Mercy Cancer Center,Fort Smith,72903,1,0
S00297,05131,Mercy Hospital Fort Smith,Fort Smith,72903,21,0
S00298,05143,Highlands Oncology,Fayetteville,72703,1,0
S00299,05143,Highlands Oncology Group,Springdale,72762,47,0
S00300,05143,Highlands Oncology Group - Fayetteville,Fayetteville,72703,14,0
S00301,05143,"Highlands Oncology Group, PA",Springdale,72762,12,0
S00302,05143,Highlands Oncology Group-Research Department,Springdale,72762,1,0
S00303,05143,Highlands Oncology Group - Springdale,Springdale,72762,3,0
S00304,05143,Research Site,Springdale,72762,5,1
S00305,06001,Alta Bates Summit Medical Center,Berkeley,94704,2,0
S00306,06001,Alta Bates Summit Medical Center Comprehensive Cancer Center,Berkeley,94704,1,0
S00307,06001,Alta Bates Summit Medical Center-Herrick Campus,Berkeley,94704,19,0
S00308,06001,Alta Bates Summit Medical Center-Herrick Campus Comprehensive Cancer Center,Berkeley,94704,1,0
S00309,06001,Bay Area Breast Surgeons Inc,Emeryville,94608,1,0
S00310,06001,Bay Area Tumor Institute,Oakland,94609,1,0
S00311,06001,Clinical Study Site,Oakland,94611,1,0
S00312,06001,Eden Hospital Medical Center,Castro Valley,94546,7,0
S00313,06001,Epic Care-Dublin,Dublin,94568,1,0
S00314,06001,Epic Care Partners in Cancer Care,Emeryville,94608,1,0
S00315,06001,Kaiser Permanente Dublin,Dublin,94568,22,0
S00316,06001,Kaiser Permanente-Fremont,Fremont,94538,21,0
S00317,06001,Kaiser Permanente-Oakland,Oakland,94611,27,0
S00318,06001,Kaiser Permanente Oakland-Broadway,Oakland,94611,8,0
S00319,06001,Kaiser Permanente Oakland Medical Center,Oakland,94611,3,0
S00320,06001,Kaiser Permanente San Leandro,San Leandro,94577,23,0
S00321,06001,Kaiser Permanente - San Leandro Medical Center,San Leandro,94577,1,0
S00322,06001,Palo Alto Medical Foundation-Fremont,Fremont,94538,17,0
S00323,06001,Palo Alto Medical Foundation - Fremont Center,Fremont,94538,1,0
S00324,06001,Stanford,Palo Alto,94604,1,0
S00325,06001,Stanford Cancer Center Emeryville,Emeryville,94608,6,0
S00326,06001,Sutter Alta Bates,Berkeley,94705,1,0
S00327,06001,UCSF at Berkeley Outpatient Center,Berkeley,94702,1,0
S00328,06001,UCSF Benioff Children's Hospital Oakland,Oakland,94609,1,0
S00329,06001,UCSF Cancer Center Berkeley,Berkeley,94702,1,0
S00330,06001,UCSF Wash Cancer CNTR,Fremont,94538,1,0
S00331,06001,Washington Health,Fremont,94538,4,0
S00332,06001,Washington Hospital,Fremont,94538,2,0
S00333,06007,Enloe Health Regional Cancer Center,Chico,95926,1,0
S00334,06007,Enloe Medical Center,Chico,95926,7,0
S00335,06013,BASS Cancer Center,Walnut Creek,94598,4,0
S00336,06013,Bass Medical Group,Walnut Creek,94598,2,0
S00337,06013,BASS Medical Group - Lennon,Walnut Creek,94598,2,0
S00338,06013,Contra Costa Regional Medical Center,Martinez,,3,0
S00339,06013,Epic Care Cyberknife Center,Walnut Creek,94597,1,0
S00340,06013,John Muir Clinical Research Center,Concord,94520,1,0
S00341,06013,John Muir Health,Walnut Creek,94598,1,0
S00342,06013,John Muir Health Cancer Center,Walnut Creek,94598,3,0
S00343,06013,John Muir Health Clinical Research Center,Walnut Creek,94598,1,0
S00344,06013,John Muir Medical Center-Walnut Creek,Walnut Creek,94598,4,0
S00345,06013,Kaiser Permanente-Deer Valley Medical Center,Antioch,94531,10,0
S00346,06013,Kaiser Permanente-Richmond,Richmond,94801,10,0
S00347,06013,Kaiser Permanente-Walnut Creek,Walnut Creek,94596,24,0
S00348,06013,Kaiser Permanente Walnut Creek Medical Center,Walnut Creek,94596,4,0
S00349,06013,Research Site,Walnut Creek,94598,5,1
S00350,06017,Marshall Cancer Center,Cameron Park,95682,5,0
S00351,06017,Sutter Cancer Centers Radiation Oncology Services-Cameron Park,Cameron Park,95682,9,0
S00352,06019,ClinRé 001-022 (Premier Cancer Care and Infusion Center,Fresno,93710,1,0
S00353,06019,Clovis Community Medical Center,Clovis,93611,1,0
S00354,06019,Community Cancer Institute,Clovis,93611,4,0
S00355,06019,Community Cancer Institute (CCI,Clovis,93611,3,0
S00356,06019,Community Regional Medical Center,Fresno,93721,1,0
S00357,06019,Fresno Cancer Center,Fresno,93720,6,0
S00358,06019,Kaiser Permanente-Fresno,Fresno,93720,20,0
S00359,06019,Kaiser Permanente Fresno Orchard Plaza,Fresno,93720,20,0
S00360,06019,Ohio State University Telemedicine,Fresno,87901,1,0
S00361,06019,UCSF Fresno,Clovis,93611,3,0
S00362,06019,UCSF FRESNO/Community Cancer Institute,Clovis,93611,1,0
S00363,06019,"University of California, Fresno",Clovis,93611,1,0
S00364,06019,University of California San Francisco,Fresno,93701,1,0
S00365,06019,"University of California, San Francisco Fresno",Clovis,93611,1,0
S00366,06019,Urology Associates of Central California,Fresno,93720,2,0
S00367,06019,Urology Associates of Central California Medical Group,Fresno,93720,1,0
S00368,06029,AIS Cancer Center at San Joaquin Community Hospital,Bakersfield,93301,7,0
S00369,06029,CBCC Global Research,Bakersfield,93309,2,0
S00370,06029,CBCC Global Research - Comprehensive Blood & Cancer Center,Bakersfield,93309,1,0
S00371,06029,"CBCC Global Research, Inc.",Bakersfield,93309,1,0
S00372,06029,Comprehensive Blood and Cancer Center,Bakersfield,93309,2,0
S00373,06029,Comprehensive Blood & Cancer Center,Bakersfield,93309,1,0
S00374,06029,"Comprehensive Blood & Cancer Center [Bakersfield, CA]",Bakersfield,93309,1,0
S00375,06029,Michael G Oefelein Clinical Trials,Bakersfield,93301,4,0
S00376,06029,"Michael G Oefelein, MD Clinical Trials",Bakersfield,93301,2,0
S00377,06029,Michael Oefelein Clinical Trials,Bakersfield,93301,2,0
S00378,06029,Unio Specialty Care - A Genesis Healthcare Partners Facility,Bakersfield,93301,1,0
S00379,06037,Site #0106,Los Angeles,90025,7,1
S00380,06037,Adventist Health Glendale,Glendale,91206,1,0
S00381,06037,American Institute of Research,Los Angeles,90017,2,0
S00382,06037,Avenzo Therapeutics Recruiting Site,Los Angeles,90095,4,0
S00383,06037,Beckman Research Institute of City of Hope,Duarte,91010,1,0
S00384,06037,Beckman Research Institute of the City of Hope,Duarte,91010,1,0
S00385,06037,Berenson Cancer Center,West Hollywood,90069,5,0
S00386,06037,Beverly Hills Cancer Center,Beverly Hills,90211,15,0
S00387,06037,Beverly Hills Cancer Center Clinical Research Advisors LLC,Beverly Hills,90211,1,0
S00388,06037,Beverly Hills Multi-Specialties Practice,Beverly Hills,90211,1,0
S00389,06037,California Research Institute,Los Angeles,90027,5,0
S00390,06037,Cancer and Blood Specialty Clinic,Lakewood,90712,1,0
S00391,06037,Care Access - South Pasadena,Pasadena,91105,1,0
